Icon glyphs present in Cozette v1.30.0 (from the released cozette.bdf cmap).
Names come from the Nerd Fonts glyphnames.json; a codepoint with several
names lists them all. Grouped by family, sorted by codepoint.

582 icons (482 named, 100 unnamed) out of 6046 glyphs in the font.

Use in sdn-config.yaml as a YAML escape, e.g.  "\uE73C"

== Font Awesome  (166) ======================================

  U+0E795    \uE795      dev-terminal
  U+0E796    \uE796      dev-codeac
  U+0E798    \uE798      dev-dart
  U+0E79B    \uE79B      dev-contao
  U+0E7A2    \uE7A2      dev-couchdb
  U+0E7A3    \uE7A3      dev-cplusplus
  U+0E7A7    \uE7A7      dev-fsharp
  U+0E7A8    \uE7A8      dev-rust
  U+0E7AA    \uE7AA      dev-sublime
  U+0E7AF    \uE7AF      dev-dlang
  U+0E7B0    \uE7B0      dev-docker
  U+0E7B1    \uE7B1      dev-erlang
  U+0E7B4    \uE7B4      dev-illustrator
  U+0E7B5    \uE7B5      dev-intellij
  U+0E7B8    \uE7B8      dev-photoshop
  U+0E7BA    \uE7BA      dev-react
  U+0E7C4    \uE7C4      dev-sqlite
  U+0E7C5    \uE7C5      dev-vim

== Octicons  (42) ==========================================

  U+02665  ♥  \u2665      oct-heart
  U+026A1  ⚡  \u26A1      oct-zap
  U+0F401    \uF401      oct-repo
  U+0F408    \uF408      oct-mark_github
  U+0F40E    \uF40E      oct-apps
  U+0F40F    \uF40F      oct-file_media
  U+0F410    \uF410      oct-file_zip
  U+0F411    \uF411      oct-archive
  U+0F413    \uF413      oct-file_directory
  U+0F415    \uF415      oct-person
  U+0F417    \uF417      oct-git_commit
  U+0F423    \uF423      oct-gear
  U+0F425    \uF425      oct-tools
  U+0F42B    \uF42B      oct-organization
  U+0F431    \uF431      oct-arrow_up
  U+0F432    \uF432      oct-arrow_right
  U+0F433    \uF433      oct-arrow_down
  U+0F434    \uF434      oct-arrow_left
  U+0F440    \uF440      oct-diff
  U+0F447    \uF447      oct-device_camera_video
  U+0F449    \uF449      oct-info
  U+0F44A    \uF44A      oct-triangle_right
  U+0F44B    \uF44B      oct-triangle_down
  U+0F460    \uF460      oct-chevron_right
  U+0F461    \uF461      oct-bookmark
  U+0F462    \uF462      oct-sliders
  U+0F464    \uF464      oct-history
  U+0F471    \uF471      oct-file_binary
  U+0F475    \uF475      oct-ellipsis
  U+0F47C    \uF47C      oct-chevron_down
  U+0F481    \uF481      oct-file_symlink_file
  U+0F482    \uF482      oct-file_symlink_directory
  U+0F489    \uF489      oct-terminal
  U+0F48A    \uF48A      oct-markdown
  U+0F48E    \uF48E      oct-trash
  U+0F498    \uF498      oct-desktop_download
  U+0F499    \uF499      oct-beaker
  U+0F49B    \uF49B      oct-cache
  U+0F49E    \uF49E      oct-check_circle
  U+0F4A0    \uF4A0      oct-tasklist
  U+0F4A5    \uF4A5      oct-file
  U+0F529    \uF529      oct-unlink

== Seti UI (file types)  (37) ==============================

  U+0E600    \uE600      seti-stylus
  U+0E601    \uE601      seti-project
  U+0E603    \uE603      seti-sass
  U+0E604    \uE604      seti-rails
  U+0E606    \uE606      seti-python
  U+0E607    \uE607      seti-heroku
  U+0E608    \uE608      seti-php
  U+0E609    \uE609      seti-markdown
  U+0E60A    \uE60A      seti-license
  U+0E60B    \uE60B      seti-json, seti-less
  U+0E60C    \uE60C      seti-javascript
  U+0E60D    \uE60D      seti-image
  U+0E60E    \uE60E      seti-html
  U+0E60F    \uE60F      seti-mustache
  U+0E610    \uE610      seti-gulp
  U+0E611    \uE611      seti-grunt
  U+0E613    \uE613      seti-folder
  U+0E614    \uE614      seti-css
  U+0E615    \uE615      seti-config
  U+0E616    \uE616      seti-npm, seti-npm_ignored
  U+0E618    \uE618      seti-ejs
  U+0E619    \uE619      seti-xml
  U+0E61A    \uE61A      seti-bower
  U+0E61B    \uE61B      seti-cjsx, seti-coffee
  U+0E61C    \uE61C      seti-twig
  U+0E61F    \uE61F      seti-haskell
  U+0E620    \uE620      seti-lua
  U+0E622    \uE622      seti-karma
  U+0E623    \uE623      seti-favicon
  U+0E624    \uE624      seti-julia
  U+0E625    \uE625      seti-react
  U+0E627    \uE627      seti-go
  U+0E628    \uE628      seti-typescript
  U+0E64E    \uE64E      seti-default, seti-text
  U+0E681    \uE681      seti-plan
  U+0E697    \uE697      seti-svelte
  U+0E6A9    \uE6A9      seti-zig

== Linux/distro logos  (23) ================================

  U+0F300    \uF300      linux-alpine
  U+0F301    \uF301      linux-aosc
  U+0F302    \uF302      linux-apple
  U+0F303    \uF303      linux-archlinux
  U+0F304    \uF304      linux-centos
  U+0F305    \uF305      linux-coreos
  U+0F306    \uF306      linux-debian
  U+0F307    \uF307      linux-devuan
  U+0F308    \uF308      linux-docker
  U+0F309    \uF309      linux-elementary
  U+0F30A    \uF30A      linux-fedora
  U+0F30C    \uF30C      linux-freebsd
  U+0F30D    \uF30D      linux-gentoo
  U+0F30E    \uF30E      linux-linuxmint
  U+0F310    \uF310      linux-mageia
  U+0F312    \uF312      linux-manjaro
  U+0F313    \uF313      linux-nixos
  U+0F314    \uF314      linux-opensuse
  U+0F317    \uF317      linux-sabayon
  U+0F318    \uF318      linux-slackware
  U+0F319    \uF319      linux-slackware_inverse
  U+0F31B    \uF31B      linux-ubuntu
  U+0F31C    \uF31C      linux-ubuntu_inverse

== Nerd Fonts custom  (19) =================================

  U+0E5FA    \uE5FA      custom-folder_npm
  U+0E5FB    \uE5FB      custom-folder_git, custom-folder_git_branch
  U+0E5FC    \uE5FC      custom-folder_config
  U+0E5FD    \uE5FD      custom-folder_github
  U+0E5FE    \uE5FE      custom-folder_open
  U+0E5FF    \uE5FF      custom-folder
  U+0E602    \uE602      custom-play_arrow, seti-play_arrow
